** Covid Cases As of 5/24/21 for City of Detroit ,,,
,,,
Zip Code,# Confirmed Cases,Median Household Income ( 2019),
48219,3178,34452,
48235,3223,33177,
48221,2427,42952,
48203,526,21834,
48234,2129,28935,
48212,736,26958,
48205,2498,26958,
48223,1577,37912,
48227,2742,29197,
48238,1547,25730,
48228,4223,27337,
48204,1543,24283,
48206,1151,23169,
48202,1028,26939,
48211,425,24104,
48213,1446,25405,
48224,2798,35429,
48228,4223,27337,
48210,2729,30142,
48208,702,20364,
48217,490,30847,
48209,2487,29188,
48216,390,31106,
48201,943,17331,
48226,329,64509,
48207,1443,30908,
48214,1191,31966,
48215,641,24748,
,,,
https://codtableau.detroitmi.gov/t/DHD/views/CityofDetroit-PublicCOVIDDashboard/ZIPCodeCaseDashboard?%3AisGuestRedirectFromVizportal=y&%3Aembed=y,,,